type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,15,20,30,25.22,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,30,40,30.15,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,40,50,34.79,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,50,60,39.47,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,60,70,44.17,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,70,80,48.18,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,80,90,51.69,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,90,100,55.24,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,100,250,55.84,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,250,500,45.16,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,15,500,1000,42.05,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,0,10,16.95,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,10,20,19.9,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,20,30,24.46,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,30,40,27.57,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,40,50,32.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,50,60,35.5,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,60,70,39.97,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,70,80,43.06,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,80,90,46.84,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,90,100,49.93,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,100,250,48.29,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,250,500,42.89,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,16,500,1000,41.13,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,0,10,18.74,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,10,20,22.99,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,20,30,27.7,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,30,40,32.25,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,40,50,36.47,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,50,60,40.78,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,60,70,45.22,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,70,80,49.92,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,80,90,54.3,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,90,100,58.86,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,100,250,50.76,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,250,500,45.36,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,17,500,1000,43.62,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,0,10,14.45,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,10,20,16.48,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,20,30,20.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,30,40,23.12,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,40,50,25.69,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,50,60,27.88,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,60,70,30.53,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,70,80,32.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,80,90,34.08,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,90,100,36.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,100,250,31.29,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,250,500,25.9,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,18,500,1000,24.15,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,0,10,18.91,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,10,20,22.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,20,30,25.95,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,30,40,29.44,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,40,50,32.54,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,19,50,60,35.26,forfait,,,,SIFA 010126 - P U.xlsx
