transporteur,type_envoi,base_calcul,zone_type,zone_valeur,dept_label,tranche_min,tranche_max,prix,unite,mini_perception,source_filename
Compte 100346,messagerie,poids,departement,12,AVEYRON,40,50.0,33.82,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,50,60.0,36.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,60,70.0,41.81,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,70,80.0,46.49,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,80,90.0,51.04,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,90,100.0,55.98,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,100,250.0,55.98,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,250,500.0,45.6,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,12,AVEYRON,500,1000.0,43.14,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,0,10.0,21.25,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,10,20.0,26.41,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,20,30.0,31.57,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,30,40.0,36.72,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,40,50.0,41.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,50,60.0,47.66,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,60,70.0,52.57,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,70,80.0,57.92,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,80,90.0,63.19,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,90,100.0,64.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,100,250.0,63.44,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,250,500.0,45.92,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,13,BOUCHES DU RHONE,500,1000.0,36.72,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,0,10.0,18.67,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,10,20.0,20.14,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,20,30.0,21.62,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,30,40.0,23.7,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,40,50.0,25.69,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,50,60.0,27.88,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,60,70.0,30.53,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,70,80.0,34.21,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,80,90.0,36.43,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,90,100.0,39.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,100,250.0,31.69,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,250,500.0,28.61,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,14,CALVADOS,500,1000.0,25.66,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,0,10.0,15.61,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,10,20.0,20.09,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,20,30.0,25.22,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,30,40.0,30.15,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,40,50.0,34.79,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,50,60.0,39.47,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,60,70.0,44.17,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,70,80.0,48.18,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,80,90.0,51.69,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,90,100.0,55.24,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,100,250.0,55.84,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,250,500.0,45.16,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,15,CANTAL,500,1000.0,42.05,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,0,10.0,16.95,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,10,20.0,19.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,20,30.0,24.46,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,30,40.0,27.57,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,40,50.0,32.41,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,50,60.0,35.5,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,60,70.0,39.97,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,70,80.0,43.06,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,80,90.0,46.84,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,90,100.0,49.93,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,100,250.0,48.29,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,250,500.0,42.89,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,16,CHARENTE,500,1000.0,41.13,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,0,10.0,18.74,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,10,20.0,22.99,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,20,30.0,27.7,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,30,40.0,32.25,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,40,50.0,36.47,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,50,60.0,40.78,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,60,70.0,45.22,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,70,80.0,49.92,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,80,90.0,54.3,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,90,100.0,58.86,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,100,250.0,50.76,au_100kg,,SIFA 010126 - P U-1.xlsx
